Section,Field Key,Question/Label,Type
Personal Information,firstName,First Name,text
Personal Information,dob,Date of Birth,date
Personal Information,city,City,text
Personal Information,state,State,select
Personal Information,heightFt,Height (ft),select
Personal Information,heightIn,Height (in),select
Personal Information,weight,Weight (lbs),text
Personal Information,usCitizen,"Are you a U.S. Citizen or Permanent Resident?",yesno
Personal Information,maritalStatus,"Current Marital/Relationship Status",select
Personal Information,monogamous,"Are you in a monogamous relationship?",yesno
Personal Information,sexualPartners,"How many sexual partners have you had in the past 12 months?",text
Personal Information,relationshipLength,"How long have you been together?",text
Personal Information,partnerName,"First name of your spouse or partner",text
Personal Information,partnerDob,"Spouse/Partner's Date of Birth",date
Personal Information,partnerUsCitizen,"Is your Spouse/Partner a U.S. Citizen or Permanent Resident?",yesno
Personal Information,householdMembers,Household Members,table
Pregnancy History,numberOfPregnancies,Total number of pregnancies,number
Pregnancy History,pregnancies[].dob,Date of Birth (per pregnancy),date
Pregnancy History,pregnancies[].sex,Sex,select
Pregnancy History,pregnancies[].name,Baby Name,text
Pregnancy History,pregnancies[].length,Length,text
Pregnancy History,pregnancies[].weight,Weight,text
Pregnancy History,pregnancies[].outcome,Outcome,select
Pregnancy History,pregnancies[].deliveryType,Delivery Type,select
Pregnancy History,pregnancies[].wasSurrogacy,Was this a surrogacy?,yesno
Pregnancy History,pregnancies[].complications,Complications,select
Pregnancy History,pregnancies[].complicationsList,"Complications List",text
Pregnancy History,pregnancies[].gestationDays,Gestation Days,number
Pregnancy History,pregnancies[].gestationWeeks,Gestation Weeks,number
Pregnancy History,pregnancies[].singleOrMultiples,Single or Multiples,select
Pregnancy History,pregnancies[].infectionAfter,Infection After Birth,yesno
Fertility Information,sameBioFather,"Is the biological father the same for all of your biological children?",yesno
Fertility Information,sameBioFatherDetails,"Please explain",textarea
Fertility Information,infertilityTreatment,"Have you ever been seen by a doctor for infertility treatment?",yesno
Fertility Information,infertilityTreatmentDetails,"Please provide details",textarea
Fertility Information,gynecologicalProblems,"Have you ever been told of any gynecological problems?",yesno
Fertility Information,gynecologicalProblemsDetails,"Please provide details",textarea
Fertility Information,breastfeeding,"Are you currently breastfeeding/lactating?",yesno
Fertility Information,breastfeedingStopDate,"When do you expect to stop?",text
Fertility Information,cycleLength,"Are your cycles typically between 28 to 30 days?",yesno
Fertility Information,cycleLengthDetails,"What is your typical cycle length?",text
Fertility Information,pregnancyMedication,"Did you ever take medication (aside from prenatals) during pregnancy?",yesno
Fertility Information,pregnancyMedicationList,"Please list medications",textarea
Fertility Information,willingToTravelNICU,"Are you ok traveling to a hospital with at least a Level II NICU?",yesno
Fertility Information,contraceptiveMethod,"Which contraceptive method do you currently use?",text
Fertility Information,lastPeriod,"When was the start of your last period?",text
Fertility Information,nearestNICU,"What is the nearest hospital with a Level II or III NICU?",text
Fertility Information,timeToConceive,"How long after stopping contraceptives did it take to get pregnant?",text
Fertility Information,pregnancyDetails,"Details about your pregnancy(s)",textarea
General Information,homeOwnership,"Do you own or rent your home?",select
General Information,homeDuration,"How long have you lived in your current home?",text
General Information,childrenFullTime,"Do your children live with you full time?",yesno
General Information,childrenSpecialNeeds,"Do any of your children have special needs or medical conditions?",yesno
General Information,placedForAdoption,"Have you ever placed a child for adoption?",yesno
General Information,planMoreChildren,"Do you plan to have any more children of your own?",yesno
General Information,smokeVape,"Do you currently smoke or vape?",yesno
General Information,smokingHistory,"Do you have a history of smoking in the past?",yesno
General Information,householdSmoker,"Does anyone else in your household currently smoke or vape?",yesno
General Information,alcoholDrugs,"Do you drink alcohol or use recreational drugs?",yesno
General Information,advisedLimitSubstances,"Have you ever been advised to limit your use of alcohol or any drugs?",yesno
General Information,householdControlledSubstances,"Does anyone in your household use controlled substances?",yesno
General Information,gunsOwned,"Do you own any guns?",yesno
General Information,piercingsTattoos,"Do you have any piercings or tattoos?",yesno
General Information,lastTattooDate,"When did you have your last tattoo?",text
General Information,nonSterilePiercing,"Have you been tattooed or had a non-sterile skin piercing in the last 12 months?",yesno
General Information,eatingDisorders,"Do you have a history of eating disorders?",yesno
General Information,typicalDiet,"Please describe your typical diet and eating habits",textarea
General Information,exerciseFrequency,"List the forms and frequency of regular exercise",textarea
General Information,religion,"What is your current religious affiliation?",text
General Information,religionImportance,"How important is religion to you?",text
General Information,ethnicity,"What is your Ethnic Origin/Ancestry?",text
General Information,differenReligion,"If the Intended Parents had a different religious belief would you be comfortable?",yesno
General Information,criminalHistory,"Have you or anyone in your household ever been arrested or convicted?",yesno
General Information,recentTravel,"Have you traveled outside of the U.S. in the last 6 months?",yesno
General Information,travelPlans,"Do you plan on traveling within or outside of the U.S.?",yesno
