Field Key,Section (data storage),Label / Question,Field Type,Required?,Conditional? (parent → trigger),Portal Section,In FollowUp?,Admin Visible?
firstName,personal,First Name (or nickname),text,YES,,PersonalSection,No,YES
dob,personal,Date of Birth,date,No,,PersonalSection,No,YES
city,personal,City,text,YES,,PersonalSection,No,YES
state,personal,State,select,YES,,PersonalSection,No,YES
heightFt,personal,Height (ft),select,YES,,PersonalSection,No,YES
heightIn,personal,Height (in),select,No,,PersonalSection,No,YES
weight,personal,Weight (lbs),number,YES,,PersonalSection,No,YES
bmi,personal,BMI,auto-calc,No,,PersonalSection (display only),No,YES
maritalStatus,personal,Current Marital/Relationship Status,select,YES,,PersonalSection,No,YES
monogamous,personal,Are you currently in a monogamous relationship?,yesno,CONDITIONAL,maritalStatus → not Single/Divorced/Widowed,PersonalSection,No,YES
sexualPartners,personal,How many sexual partners in past 6 months?,select,YES,,PersonalSection,No,YES
relationshipLength,personal,How long have you been together?,text,CONDITIONAL,maritalStatus → In Relationship/Married/Domestic Partnership,PersonalSection,No,YES
partnerName,personal,First name of your spouse or partner,text,CONDITIONAL,maritalStatus → In Relationship/Married/Domestic Partnership,PersonalSection,No,YES
partnerDob,personal,Spouse/Partner's Date of Birth,date,CONDITIONAL,maritalStatus → In Relationship/Married/Domestic Partnership,PersonalSection,No,YES
partnerUsCitizen,personal,Is your Spouse/Partner a U.S. Citizen or Permanent Resident?,yesno,CONDITIONAL,maritalStatus → In Relationship/Married/Domestic Partnership,PersonalSection,No,YES
householdMembers,personal,Household Members (name + relationship),array,No,,PersonalSection,No,YES
profilePhotoUrl,personal,Profile Photo URL,text,No,,PersonalSection,No,No
numberOfPregnancies,pregnancyHistory,Total number of pregnancies,number,YES,,PregnancyHistorySection,No,YES
pregnancies,pregnancyHistory,"Pregnancy details array (outcome, dob, gestationWeeks, deliveryType, weight, sex, etc.)",array,YES (each must be complete),,PregnancyHistorySection,No,YES
sameBioFather,fertility,Is the biological father the same for all of your biological children?,yesno,YES,,FertilitySection,No,YES
sameBioFatherDetails,fertility,Please explain,textarea,CONDITIONAL,sameBioFather → no,FertilitySection,No,YES
pregnancyDetails,fertility,"Details about your pregnancy(s) — complications, ups and downs",textarea,YES,,FertilitySection,No,YES
infertilityTreatment,fertility,Have you ever been seen by a doctor for infertility treatment?,yesno,YES,,FertilitySection,No,YES
infertilityTreatmentDetails,fertility,Please provide details,textarea,CONDITIONAL,infertilityTreatment → yes,FertilitySection,No,YES
gynecologicalProblems,fertility,"Have you ever been told of any gynecological problems (endometriosis, cysts, fibroids, abnormal pap)?",yesno,YES,,FertilitySection,No,YES
gynecologicalProblemsDetails,fertility,Please provide details,textarea,CONDITIONAL,gynecologicalProblems → yes,FertilitySection,No,YES
pregnancyMedication,fertility,Did you ever take medication (aside from prenatals) during pregnancy?,yesno,YES,,FertilitySection,No,YES
pregnancyMedicationList,fertility,Please list medications,textarea,CONDITIONAL,pregnancyMedication → yes,FertilitySection,No,YES
homeOwnership,general,Do you own or rent your home?,select,YES,,GeneralSection,No,YES
homeDuration,general,How long have you lived in your current home?,text,YES,,GeneralSection,No,YES
childrenFullTime,general,Do your children live with you full time?,yesno,YES,,GeneralSection,No,YES
